Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[17, 28, 212, 323, 342, 354, 363]",2.47,MLR,0.34,-0.11,-8.43,-9.01
"[135, 174, 220, 237, 341, 359, 395]",0.48,MLR,0.63,0.22,0.77,-45842.01
"[83, 131, 238, 352, 353, 370, 385]",0.52,MLR,0.62,0.19,0.64,0.01
"[71, 123, 316, 364]",0.61,MLR,0.42,0.06,0.57,-0.25
"[96, 105, 211]",2.85,MLR,0.51,0.32,-11.6,-16.57
"[11, 34, 48, 78, 155, 227, 241, 257]",1.53,MLR,0.56,-1.54,0.48,0.46
"[47, 57, 66, 255, 292, 298, 320, 346, 377]",0.93,MLR,0.83,0.5,-2.32,-6.38
"[8, 68, 135]",0.54,MLR,0.56,0.33,0.13,0.04
"[53, 92, 133, 159]",0.65,MLR,0.56,0.36,-0.52,-0.57
"[24, 111, 201, 326, 371]",2.03,MLR,0.44,0.12,-6.83,-5.95
