Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[13, 276, 337]",0.85,MLR,0.08,-0.27,0.31,0.16
"[75, 256, 349]",0.92,MLR,0.09,-0.33,0.11,0.25
"[9, 18, 79, 200]",1.02,MLR,0.49,0.24,-2.06,-2.77
"[8, 49, 51, 57, 113, 316, 367]",0.72,MLR,0.57,0.13,-0.18,-0.36
"[157, 251, 269, 307, 331, 391]",4.22,MLR,0.52,0.02,-17.72,-37.38
"[72, 282, 383]",0.68,MLR,0.42,0.21,-0.23,-1.58
"[11, 12, 269, 296]",0.74,MLR,0.38,0.14,-0.34,-0.93
"[70, 206, 242, 243, 369, 394]",0.68,MLR,0.51,-0.14,0.8,-40775.97
"[0, 10, 17, 31, 40, 44, 133, 154, 215, 255, 300, 350]",0.89,MLR,0.91,0.61,-2.43,-7.82
"[108, 200, 253, 260, 271, 372]",0.99,MLR,0.49,-0.07,-1.02,-1.36
