Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[55, 254, 276, 299, 332]",0.88,MLR,0.12,-0.4,0.54,0.16
"[24, 31, 72, 76, 122, 157, 166, 259]",1.11,MLR,0.51,-0.68,0.14,0.18
"[43, 110, 117, 119, 251, 318]",0.7,MLR,0.7,0.41,-0.86,-0.63
"[61, 184, 305, 331, 338, 392]",3.99,MLR,0.35,-0.31,-15.6,-3640.48
"[35, 39, 47, 174, 239, 240, 251, 346]",0.68,MLR,0.8,0.46,-0.9,-0.58
"[75, 174, 199, 330, 361]",1.02,MLR,0.14,-0.6,0.37,-0.04
"[9, 43, 76, 109, 270, 283, 299, 316, 377]",0.83,MLR,0.62,-0.13,0.03,0.45
"[172, 260, 267, 271, 325, 343, 351]",1.03,MLR,0.56,-0.09,-1.12,-1.52
"[84, 191, 200, 296, 326, 361]",6.68,MLR,0.68,-3.43,-20.4,-33.49
"[86, 166, 209, 228, 246, 277, 330]",0.84,MLR,0.49,-0.29,0.39,-0.14
