Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[36, 260, 285, 307]",3.88,MLR,0.46,0.22,-16.57,-36.2
"[10, 21, 69, 157, 276, 391, 392]",1.53,MLR,0.42,-0.96,-1.17,-7043.3
"[126, 156, 164, 166, 293, 392]",1.12,MLR,0.6,-0.51,-0.39,-2.65
"[69, 70, 83, 110, 198, 255, 329, 376]",2.1,MLR,0.51,-0.41,-5.67,-5.55
"[26, 58, 166, 186, 241, 293, 316, 317, 338]",3.44,MLR,0.76,0.46,-15.02,-18.86
"[27, 87, 95, 106, 129, 139, 278, 352]",1.06,MLR,0.5,-0.26,-0.79,-1.43
"[54, 60, 80, 98]",2.08,MLR,-0.19,-1.79,-1.66,0.04
"[14, 70, 79, 153, 158, 338, 368]",1.53,MLR,0.43,-1.06,-0.9,-1.82
"[72, 106, 122, 259, 287, 312, 353]",0.72,MLR,0.56,0.05,0.06,-0.98
"[122, 199, 355]",0.67,MLR,0.26,0.01,0.41,-0.5
"[94, 180, 183, 225, 248, 251, 336, 348]",5.97,MLR,-0.66,-1.51,-22.29,-44.88
"[11, 27, 39, 79, 174, 191, 219, 227, 236, 337]",1.9,MLR,0.78,0.2,-6.38,-9.25
"[15, 32, 34, 176, 191, 254, 281, 302, 323, 325, 352, 385]",1.33,MLR,0.86,0.21,-3.53,-10.42
"[64, 90, 173, 237, 257, 289, 353, 374, 384]",0.91,MLR,0.59,-0.3,0.05,0.08
"[107, 197, 229, 230, 321, 358]",0.89,MLR,0.51,-0.21,-0.09,0.11
"[59, 192, 237, 270, 327, 372]",0.76,MLR,0.49,-0.0,-0.01,-0.06
"[80, 143, 177, 300, 316]",0.75,MLR,0.67,0.17,-0.43,-0.15
"[40, 345, 362, 378, 384]",0.75,MLR,0.4,-0.01,0.07,-0.34
"[36, 115, 145, 286, 343, 370]",1.78,MLR,0.22,-0.4,-4.05,-7.47
"[5, 23, 24, 53, 84, 140, 165, 250, 262, 321, 353]",14.71,MLR,0.51,-25.09,0.53,0.09
"[27, 47, 132, 179, 184, 214, 228, 260, 292, 297, 377, 380]",1.89,MLR,0.89,0.41,-6.97,-17.99
"[47, 50, 205, 217, 265, 329]",0.65,MLR,0.62,0.24,-0.16,-0.27
"[117, 134, 276, 291, 327, 383, 389]",0.81,MLR,0.7,0.36,-1.27,-10.46
"[27, 61, 90, 182, 278, 371]",0.95,MLR,0.24,-0.52,0.51,-1.99
"[42, 168, 170, 219, 287, 383]",0.77,MLR,0.5,0.01,-0.09,-0.57
"[2, 58, 84, 179, 234]",3.68,MLR,0.55,-5.37,0.43,0.83
"[97, 114, 219]",0.94,MLR,0.16,-0.17,-0.43,-1.04
"[142, 201, 242, 295, 363]",1.07,MLR,0.19,-0.51,-0.14,-0.62
"[11, 202, 242, 244, 314, 384]",2.48,MLR,0.36,-1.29,-5.11,-20.12
"[59, 60, 101, 132, 221, 257, 332, 380]",0.57,MLR,0.58,0.21,0.34,-0.93
"[138, 210, 218, 249, 315, 320]",0.66,MLR,0.6,0.12,0.14,0.08
"[13, 23, 160, 245, 327]",0.54,MLR,0.57,0.1,0.84,0.75
"[46, 198, 213, 289, 297, 327, 393]",0.99,MLR,0.55,-0.28,-0.4,-1786.06
"[96, 129, 157, 314, 333]",2.78,MLR,0.28,-0.18,-9.83,-24.67
"[6, 203, 304, 371, 382, 386]",0.62,MLR,0.61,0.1,0.42,0.4
"[23, 39, 72, 207, 234, 314, 315, 360, 395]",2.66,MLR,0.37,-0.49,-8.3,-2426.95
"[5, 86, 135, 170, 189, 193, 200, 228, 265, 366]",1.85,MLR,0.74,-0.86,-3.12,-2.06
"[27, 166, 339, 386, 392]",1.04,MLR,0.47,-0.67,0.48,-648.22
"[70, 81, 82, 258, 364]",1.22,MLR,-0.15,-0.72,-0.28,0.2
"[42, 68, 111, 160, 202, 213, 255, 294, 346, 347, 356]",1.11,MLR,0.68,-0.3,-0.96,-7.61
"[26, 27, 136, 140, 310, 322]",0.99,MLR,0.35,-0.14,-0.79,-3.83
"[31, 68, 92, 223, 278, 279, 339, 369, 376]",0.54,MLR,0.72,0.24,0.39,-0.06
"[137, 205, 263, 372, 383]",0.73,MLR,0.56,0.22,-0.46,-0.42
"[156, 205, 241, 326, 332]",0.81,MLR,0.56,0.26,-1.01,-0.54
"[4, 16, 28, 108, 197, 209, 226, 256, 373]",3.95,MLR,0.72,-0.06,-16.11,-21.16
"[61, 118, 149, 182, 208, 229, 237, 263]",1.25,MLR,0.54,-0.1,-2.24,-3.31
"[22, 28, 30, 72, 75, 274, 370]",1.12,MLR,0.29,-0.15,-1.4,-2.41
"[51, 68, 81, 108, 162, 241, 265, 266, 371]",1.3,MLR,0.3,-0.46,-1.45,-1.09
"[74, 162, 224, 392]",0.94,MLR,0.2,-0.38,0.15,-95.38
"[24, 55, 199, 208, 219, 237, 366, 368, 395]",0.99,MLR,0.52,-0.41,-0.0,-2.33
