Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[8, 52, 107, 111, 201, 232, 240, 245, 321]",0.93,MLR,0.64,-0.49,0.48,-0.02
"[4, 28, 139, 214, 290]",3.08,MLR,-0.18,-1.01,-8.97,-11.69
"[44, 72, 267, 269, 283, 299, 369, 371, 393]",0.9,MLR,0.7,-0.24,-0.06,-2698.63
"[10, 65, 67, 125, 152, 218, 293, 328, 360, 362, 388]",1.1,MLR,0.52,-0.57,-0.14,0.51
"[83, 89, 129, 181, 266, 292, 334]",0.79,MLR,0.61,-0.02,-0.11,-0.95
"[15, 21, 22, 32, 33, 195, 244, 279, 377]",0.78,MLR,0.73,-0.29,0.72,0.3
"[10, 19, 74, 174, 182, 211, 213]",0.64,MLR,0.47,0.06,0.43,0.61
"[100, 165, 237, 306]",0.76,MLR,0.38,0.03,-0.12,-0.16
"[14, 23, 124, 151, 182, 321]",0.25,MLR,0.77,0.59,0.89,0.81
"[148, 227, 247]",0.95,MLR,0.08,-0.33,-0.01,-0.0
