Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[54, 268, 293, 318]",0.72,MLR,0.31,0.01,0.17,-0.13
"[43, 94, 117, 160, 217, 254, 339, 371]",0.38,MLR,0.83,0.6,0.21,-1.0
"[51, 125, 132, 253, 287, 290, 295, 381]",0.57,MLR,0.66,0.26,0.2,0.35
"[139, 249, 251, 252, 305, 371]",1.33,MLR,0.27,-0.96,-0.2,0.34
"[8, 52, 65, 123, 142, 151, 215, 312, 342]",1.2,MLR,0.6,-0.88,0.27,-0.17
"[43, 72, 202, 282, 299, 304, 325, 364, 393]",0.5,MLR,0.77,0.29,0.47,-3916.65
"[96, 109, 141, 171, 182, 289, 382]",1.19,MLR,0.49,-0.12,-1.87,-5.04
"[245, 324, 359]",1.03,MLR,0.13,-0.42,-0.22,-0.43
"[98, 157, 190, 243, 383]",0.99,MLR,0.24,-0.35,-0.21,-0.47
"[0, 39, 90, 119, 170, 182, 235, 295, 347, 392]",1.41,MLR,0.45,-0.69,-1.38,-360.19
