Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[7, 173, 175, 219, 240, 337, 364]",0.57,MLR,0.61,0.25,0.21,0.05
"[74, 75, 191, 235, 274]",1.52,MLR,0.49,0.05,-4.07,-7.02
"[9, 55, 107, 137, 168, 230, 272]",0.94,MLR,0.59,-0.29,-0.12,-0.02
"[25, 142, 209, 303, 305, 336]",0.81,MLR,0.47,-0.08,-0.02,-0.29
"[1, 181, 230, 295, 302, 379]",0.56,MLR,0.64,0.16,0.52,0.05
"[28, 93, 114, 200, 235, 243, 334, 367, 382]",3.71,MLR,0.79,0.3,-15.92,-28.15
"[11, 29, 80, 92, 106, 168, 214]",1.27,MLR,0.51,-0.93,0.01,0.1
"[83, 119, 169, 237]",0.58,MLR,0.63,0.4,-0.27,0.26
"[38, 56, 63, 95, 152, 339]",0.65,MLR,0.44,-0.03,0.65,0.44
"[138, 221, 317]",0.83,MLR,0.08,-0.2,0.2,0.21
