Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[64, 80, 95, 108, 124, 266, 306, 341]",3.33,MLR,0.55,-1.64,-8.43,-6.0
"[60, 76, 155]",1.1,MLR,0.34,-0.34,-0.76,-1.1
"[10, 93, 169, 182, 319]",0.34,MLR,0.68,0.49,0.72,0.69
"[34, 78, 236, 251, 321, 356]",1.39,MLR,0.49,-1.11,-0.06,-0.17
"[52, 129, 141, 187, 194, 376]",0.76,MLR,0.46,0.08,-0.25,-0.25
"[81, 140, 153, 193, 215, 304, 341]",1.1,MLR,0.43,-0.57,-0.12,0.47
"[76, 195, 204, 290, 326, 353]",0.86,MLR,0.51,-0.01,-0.5,-0.26
"[76, 337, 352]",0.74,MLR,0.18,-0.14,0.5,-0.07
"[2, 114, 202, 279, 302, 358]",0.47,MLR,0.64,0.28,0.66,0.44
"[203, 213, 236, 240, 267, 307, 310, 353]",6.7,MLR,0.53,-0.34,-29.35,-61.57
