Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[120, 250, 354]",1.31,MLR,0.24,-0.94,-0.15,0.12
"[32, 53, 176, 260, 263, 308, 383]",0.9,MLR,0.48,-0.01,-0.7,-0.24
"[44, 91, 122, 169, 182, 297, 340]",0.94,MLR,0.58,0.03,-1.01,-2.0
"[25, 62, 97, 99, 110, 138, 385]",0.91,MLR,0.5,0.03,-0.84,-1.17
"[80, 183, 205]",1.44,MLR,0.04,-0.96,-0.77,-0.44
"[15, 109, 151, 236, 261, 266, 321]",2.61,MLR,-0.04,-3.57,0.78,0.66
"[155, 187, 224, 265, 271, 311]",0.65,MLR,0.68,0.36,-0.48,-0.37
"[14, 145, 239, 316, 337, 381]",1.06,MLR,0.1,-0.66,0.34,0.25
"[5, 171, 181, 268, 294]",1.05,MLR,0.61,0.05,-1.66,-3.82
"[93, 111, 301, 316]",0.68,MLR,0.44,0.17,-0.09,0.46
