Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[1, 35, 46, 48, 98, 219, 303, 375]",0.36,MLR,0.77,0.51,0.57,0.46
"[70, 249, 313, 318, 363]",0.68,MLR,0.4,-0.09,0.64,-0.55
"[1, 37, 125, 174, 242, 259]",0.79,MLR,0.65,0.38,-1.26,-1.33
"[112, 130, 141, 275, 347]",0.59,MLR,0.52,0.05,0.72,0.26
"[63, 88, 376, 389]",0.67,MLR,0.52,0.21,-0.17,-0.09
"[81, 153, 174, 196, 247, 334, 377]",1.85,MLR,0.39,-1.79,-0.46,-0.44
"[117, 124, 220, 240, 272]",0.65,MLR,0.63,0.26,-0.18,-0.37
"[108, 168, 191, 213, 387]",1.75,MLR,0.37,-1.85,0.19,0.26
"[3, 116, 172, 183, 202, 270, 313]",0.48,MLR,0.65,0.32,0.5,0.44
"[31, 68, 73, 148, 266, 291, 375]",1.92,MLR,0.46,-1.22,-2.48,-5.82
