Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[75, 139, 141, 203, 212, 375]",0.87,MLR,0.49,-0.39,0.52,-1.19
"[97, 254, 304]",0.85,MLR,0.12,-0.28,0.33,0.62
"[3, 194, 230, 358, 381]",0.81,MLR,0.44,-0.2,0.31,0.1
"[12, 37, 267, 295]",0.79,MLR,0.41,0.09,-0.4,-1.08
"[25, 111, 319, 332]",0.6,MLR,0.46,0.21,0.22,-0.45
"[3, 73, 103, 230, 272, 282, 368, 381]",1.09,MLR,0.3,-0.37,-0.66,-1.58
"[32, 78, 192, 262, 303, 395]",1.38,MLR,0.5,-0.58,-1.53,-1291.46
"[130, 189, 296, 314]",1.75,MLR,0.44,0.1,-5.36,-12.35
"[67, 209, 219, 263, 272, 289, 343, 369]",2.79,MLR,0.7,0.14,-10.78,-14.59
"[99, 120, 159, 287, 328, 342]",0.52,MLR,0.59,0.24,0.52,-0.23
