Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[54, 85, 101, 110, 113, 388]",1.44,MLR,0.4,-0.18,-2.97,-3.53
"[5, 89, 128, 160, 185, 199, 213, 237, 278, 362]",0.96,MLR,0.78,-0.28,-0.25,-0.07
"[138, 230, 271, 281, 338]",1.08,MLR,0.55,0.23,-2.34,-3.64
"[9, 39, 87, 156, 264]",2.37,MLR,0.26,-2.64,-0.68,-1.25
"[38, 193, 275, 277, 287, 311, 335]",0.67,MLR,0.58,0.18,-0.06,-1.26
"[26, 27, 35, 37, 57, 151]",1.28,MLR,-0.04,-0.88,-0.18,0.33
"[113, 131, 345]",0.6,MLR,0.43,0.14,0.37,-0.04
"[83, 206, 262, 285, 334, 379]",0.83,MLR,0.51,0.06,-0.53,-0.51
"[5, 95, 180, 234, 311]",0.72,MLR,0.49,0.04,0.04,-0.06
"[24, 40, 208, 246, 281, 287, 308]",0.51,MLR,0.78,0.37,0.22,-1.77
