Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[13, 77, 134, 249, 258, 262]",1.15,MLR,0.45,-0.93,0.66,0.35
"[130, 135, 236, 349, 393]",0.4,MLR,0.63,0.36,0.81,-33.91
"[10, 84, 151, 165, 314, 329, 381]",4.64,MLR,0.43,-3.09,-10.95,-22.07
"[6, 20, 138, 143, 154, 327, 377]",0.53,MLR,0.73,0.41,0.01,0.36
"[16, 29, 67, 76, 194, 215, 236, 330, 367, 375]",1.72,MLR,0.43,-1.76,0.08,-0.44
"[13, 77, 91, 127, 201, 214, 276, 280, 319, 329]",1.66,MLR,0.66,-0.86,-2.14,-3.95
"[44, 65, 72, 94, 307]",2.12,MLR,0.53,0.08,-7.2,-16.08
"[81, 114, 122, 153, 180, 233, 351, 364]",0.86,MLR,0.53,-0.35,0.48,0.07
"[102, 249, 256, 265, 325]",0.63,MLR,0.67,0.42,-0.58,-0.99
"[69, 356, 382]",0.57,MLR,0.41,0.15,0.5,0.16
