Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[47, 89, 343]",2.56,MLR,0.58,0.34,-10.18,-15.14
"[12, 13, 139, 145, 154, 214, 259, 263, 266, 302, 354]",0.77,MLR,0.7,0.17,-0.57,0.05
"[38, 135, 153, 203, 250, 268, 321]",1.11,MLR,0.43,-0.83,0.58,0.53
"[34, 138, 241, 268, 293, 303, 379]",0.97,MLR,0.44,-0.53,0.4,0.25
"[81, 169, 369]",0.89,MLR,0.24,-0.12,-0.32,-0.56
"[2, 68, 76, 83, 95, 97, 143, 201, 224, 263, 287, 341, 353, 361]",0.81,MLR,0.82,0.17,-0.77,-0.26
"[40, 47, 89, 107, 120, 261, 284, 313]",0.74,MLR,0.6,0.11,-0.21,0.02
"[132, 168, 348, 366]",0.51,MLR,0.51,0.19,0.72,0.22
"[50, 210, 296, 307, 339, 343]",1.37,MLR,0.64,0.22,-3.75,-5.57
"[32, 129, 270, 322]",0.79,MLR,0.39,-0.02,-0.12,0.29
