Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[24, 60, 126, 225, 258, 362, 377]",1.6,MLR,0.64,0.02,-4.36,-4.82
"[3, 16, 37, 77, 156, 187, 261]",1.37,MLR,0.48,-0.05,-2.98,-5.0
"[14, 52, 76, 88, 218]",0.82,MLR,0.3,-0.13,0.05,-0.38
"[53, 90, 106, 191, 206, 232, 266, 313, 327]",3.1,MLR,0.65,-0.06,-11.77,-20.09
"[61, 298, 393]",0.91,MLR,0.11,-0.24,-0.09,-838.33
"[140, 190, 201, 231, 321, 348, 388]",0.68,MLR,0.4,-0.01,0.39,0.11
"[21, 26, 117, 118, 228, 340, 344]",0.95,MLR,0.7,0.46,-2.32,-4.35
"[66, 80, 94, 347, 381]",0.7,MLR,0.66,-0.06,0.49,0.08
"[112, 138, 146, 199, 208, 238, 284, 307, 344]",7.05,MLR,0.64,0.11,-32.4,-35.71
"[40, 49, 106, 158, 193, 237, 284]",0.64,MLR,0.58,-0.05,0.75,0.51
