Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[4, 9, 103, 151, 182, 219, 230, 310, 327]",1.24,MLR,0.45,-0.56,-0.87,-1.37
"[304, 312, 317, 363]",0.64,MLR,0.41,0.1,0.31,-0.45
"[17, 48, 88, 134, 185, 249, 255, 277, 281, 381]",1.09,MLR,0.82,-0.04,-1.59,-2.57
"[135, 177, 263, 357, 361, 387]",1.23,MLR,0.44,-0.12,-2.1,-1.88
"[9, 64, 84, 96, 161, 200, 216, 280]",3.25,MLR,0.8,0.1,-12.99,-27.93
"[163, 231, 278, 284, 316, 338, 341]",3.42,MLR,0.53,0.04,-13.72,-12.39
"[15, 41, 163, 202, 288, 322, 364, 381]",0.74,MLR,0.31,-0.11,0.39,-1.71
"[37, 115, 196, 229]",1.06,MLR,0.31,-0.57,0.1,-0.16
"[64, 115, 134, 145, 272, 333, 344]",1.25,MLR,0.45,-0.43,-1.3,-2.89
"[8, 189, 267]",0.66,MLR,0.43,0.13,0.11,-0.01
