Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[71, 98, 102, 141, 194, 267, 287, 391]",0.73,MLR,0.39,-0.07,0.31,-3.22
"[58, 114, 249, 272]",0.87,MLR,0.24,-0.27,0.2,-0.35
"[62, 104, 184, 291, 293, 367, 381]",0.77,MLR,0.54,0.1,-0.34,-0.58
"[134, 238, 242, 271, 323]",0.44,MLR,0.58,0.34,0.62,-0.5
"[27, 156, 185, 192, 213, 250, 265, 267, 275, 279, 281]",2.08,MLR,0.77,-0.24,-6.06,-8.8
"[76, 131, 286, 370]",0.49,MLR,0.53,0.3,0.5,-0.12
"[18, 173, 291, 318]",0.47,MLR,0.59,0.43,0.2,-0.16
"[44, 187, 209, 259]",0.99,MLR,0.11,-0.32,-0.26,-0.21
"[4, 43, 135, 228, 295, 300, 320, 340, 382]",1.01,MLR,0.62,0.19,-1.84,-3.42
"[123, 282, 382]",0.71,MLR,0.4,0.11,-0.1,0.15
