Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[33, 79, 96, 140, 171, 225, 237, 242, 336, 385]",2.53,MLR,0.83,0.3,-9.89,-43.1
"[22, 40, 222, 233, 304, 351, 357]",0.62,MLR,0.64,0.23,0.05,0.02
"[86, 90, 203, 288, 309, 385]",0.69,MLR,0.52,-0.02,0.4,-1.32
"[171, 200, 261]",0.88,MLR,0.17,-0.21,-0.01,-0.34
"[178, 275, 323, 393]",1.52,MLR,0.27,-1.1,-0.78,-2191.4
"[0, 64, 110, 127, 147]",0.69,MLR,0.51,0.08,0.1,-0.23
"[81, 82, 111, 156, 238]",0.77,MLR,0.52,0.2,-0.61,-0.23
"[71, 80, 126, 153, 198, 216]",0.8,MLR,0.63,-0.14,0.16,-0.11
"[36, 73, 295, 384]",0.63,MLR,0.28,-0.06,0.81,0.25
"[211, 318, 368]",0.61,MLR,0.49,0.26,0.02,-0.1
