Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[17, 72, 297, 395]",0.64,MLR,0.42,0.12,0.29,-200.71
"[52, 92, 127, 142, 171, 197, 218, 245, 285, 288, 311]",0.7,MLR,0.7,0.05,0.16,-0.61
"[56, 163, 176, 314]",5.64,MLR,0.17,-0.31,-24.05,-48.13
"[18, 45, 182, 208, 292, 363]",0.61,MLR,0.68,0.38,-0.34,-0.07
"[4, 5, 116, 252, 326, 348]",1.23,MLR,0.52,-0.68,-0.5,-1.27
"[85, 104, 248, 293, 328, 352, 357, 380]",0.96,MLR,0.52,-0.32,-0.11,-0.33
"[14, 33, 60, 158, 210, 246, 284, 344, 358, 372]",0.8,MLR,0.68,-0.27,0.56,0.25
"[20, 78, 156, 205, 260, 386, 394]",0.94,MLR,0.51,-0.17,-0.47,-742.72
"[61, 68, 155, 169, 238]",0.7,MLR,0.63,0.24,-0.43,-0.3
"[125, 128, 217, 223]",0.78,MLR,0.68,0.49,-1.5,-2.46
