Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[16, 53, 296, 349]",0.5,MLR,0.57,0.29,0.46,0.24
"[40, 288, 369]",0.63,MLR,0.39,0.11,0.32,0.17
"[44, 89, 113, 135, 174, 196, 254, 257, 340, 346, 353]",0.81,MLR,0.68,-0.36,0.75,0.47
"[24, 148, 278, 311]",0.88,MLR,0.25,-0.29,0.19,-0.98
"[56, 115, 152, 234, 286]",1.14,MLR,0.17,-0.49,-0.54,-0.24
"[34, 57, 97, 106, 219, 258, 291]",0.89,MLR,0.47,-0.23,-0.03,-0.5
"[116, 258, 339, 344]",0.53,MLR,0.55,0.26,0.41,0.02
"[149, 150, 244, 261, 388]",3.17,MLR,0.11,-4.08,-0.68,-0.71
"[190, 254, 263, 283, 302, 328]",0.91,MLR,0.66,0.36,-1.82,-1.18
"[47, 246, 284]",0.48,MLR,0.58,0.42,0.2,0.4
