Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[5, 237, 293, 314, 350]",0.86,MLR,0.56,0.18,-1.02,-5.89
"[146, 237, 245, 281, 382]",0.84,MLR,0.23,-0.24,0.28,-1.46
"[101, 106, 111, 158, 189, 204, 227, 359]",0.71,MLR,0.64,-0.07,0.43,0.46
"[2, 18, 153, 273, 322]",0.46,MLR,0.52,0.24,0.81,0.67
"[4, 64, 87, 153, 200, 257, 273, 278]",1.28,MLR,0.45,-0.92,-0.04,-0.73
"[25, 140, 294]",0.86,MLR,0.29,0.11,-0.83,-0.54
"[41, 90, 109, 142, 265, 323, 382]",0.39,MLR,0.71,0.41,0.71,0.48
"[3, 44, 45, 82, 91, 138, 169, 185, 221, 284]",1.01,MLR,0.72,0.41,-2.47,-6.79
"[132, 133, 215, 297, 358]",0.96,MLR,0.42,-0.42,0.2,0.11
"[1, 33, 216, 369]",0.55,MLR,0.54,0.3,0.17,0.1
