Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[172, 205, 260, 291, 386]",1.76,MLR,0.28,-1.47,-0.89,-0.53
"[20, 219, 269, 337]",0.7,MLR,0.51,0.27,-0.49,-0.61
"[24, 25, 66, 178, 214, 237, 248, 271, 284, 308, 327, 385]",3.08,MLR,0.77,-0.96,-9.1,-6.69
"[38, 108, 135, 143, 232, 311, 327]",0.66,MLR,0.67,0.32,-0.42,-0.11
"[92, 161, 264, 360, 365]",2.49,MLR,0.27,-3.37,0.81,-0.47
"[9, 24, 76, 156, 160, 193, 308, 319, 330]",1.79,MLR,0.68,-0.22,-4.63,-11.3
"[13, 22, 38, 67, 154, 163, 168, 172, 338]",0.97,MLR,0.33,-0.52,0.4,0.32
"[1, 168, 178, 234, 263, 282, 319]",0.64,MLR,0.71,0.44,-0.66,-2.75
"[49, 145, 159, 228, 346]",0.54,MLR,0.52,0.14,0.72,0.62
"[141, 223, 280, 285, 333]",0.58,MLR,0.58,0.28,0.08,0.08
