Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[113, 122, 143, 174, 188, 259, 300, 327]",0.75,MLR,0.73,0.27,-0.71,-1.23
"[5, 71, 85, 108, 125, 254, 258, 270]",3.76,MLR,0.16,-4.96,-1.16,-0.28
"[58, 63, 76, 77, 251]",0.76,MLR,0.43,0.05,-0.15,-2.55
"[159, 175, 216]",1.06,MLR,0.27,-0.1,-1.24,-0.74
"[12, 230, 255, 318, 381]",0.8,MLR,0.33,-0.23,0.42,0.22
"[19, 84, 89, 222, 392]",3.83,MLR,0.18,-5.72,0.65,-327.05
"[37, 107, 117, 202, 231]",0.48,MLR,0.6,0.28,0.61,0.36
"[74, 98, 257, 350, 395]",0.6,MLR,0.51,0.02,0.74,-100492.45
"[47, 72, 91, 120, 126, 142, 182, 238, 248, 383]",0.7,MLR,0.92,0.77,-1.9,-2.05
"[14, 24, 106, 146, 166, 263, 296, 331]",0.74,MLR,0.51,0.15,-0.34,-0.82
