Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[89, 155, 218, 230, 235, 251, 260, 309, 311]",0.88,MLR,0.64,-0.13,-0.27,0.14
"[121, 135, 251, 284, 349, 369]",0.86,MLR,0.53,0.16,-0.99,0.41
"[2, 7, 58, 101, 104, 137, 233, 381]",0.87,MLR,0.73,0.18,-1.07,-1.49
"[20, 100, 101, 106, 225, 230, 329, 372]",0.96,MLR,0.52,0.13,-1.4,-1.08
"[206, 223, 264, 314, 360]",1.67,MLR,0.42,-0.2,-4.1,-12.44
"[16, 60, 100, 159, 382]",1.03,MLR,0.36,-0.14,-1.0,-2.81
"[15, 82, 100, 134, 152, 217, 237, 256, 276, 357]",0.98,MLR,0.78,-0.53,0.37,-0.52
"[68, 74, 118, 271, 326, 370]",0.78,MLR,0.46,0.03,-0.2,-0.12
"[30, 40, 145, 303]",0.73,MLR,0.4,0.05,-0.03,-0.09
"[85, 194, 392]",0.89,MLR,0.27,-0.11,-0.38,-3300.49
