Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[21, 52, 69, 74, 83, 135, 162, 313, 391]",0.6,MLR,0.83,0.43,-0.45,-1.11
"[23, 50, 68, 93, 195, 207, 251, 322, 347]",0.95,MLR,0.39,-0.61,0.76,0.37
"[22, 52, 62, 64, 94, 120, 151, 153, 322, 334, 343, 346, 365, 368]",3.1,MLR,-2.04,-3.87,-0.91,-1.34
"[129, 205, 207, 388]",0.82,MLR,0.28,-0.15,0.11,0.16
"[96, 98, 137, 179, 238, 390, 392]",0.98,MLR,0.26,-0.56,0.47,-2200.63
"[72, 202, 224, 295, 369]",0.68,MLR,0.59,0.24,-0.28,-0.49
"[96, 187, 312, 372, 382]",0.8,MLR,0.52,0.2,-0.81,-1.48
"[48, 129, 243, 367]",1.1,MLR,0.04,-0.6,-0.03,0.18
"[1, 9, 56, 75, 77, 101, 113, 242, 270, 335, 355, 374]",0.97,MLR,0.82,0.27,-1.83,-3.61
"[165, 196, 255, 271, 344]",0.86,MLR,0.38,-0.34,0.43,0.16
