Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[8, 75, 114, 184, 271, 361]",0.65,MLR,0.65,0.22,-0.1,0.04
"[193, 209, 283, 357, 363]",0.57,MLR,0.5,0.16,0.52,-0.44
"[25, 152, 261, 281, 287, 306, 349, 361]",1.13,MLR,0.6,0.13,-2.3,-9.34
"[92, 127, 132, 204, 362]",0.42,MLR,0.63,0.38,0.62,0.23
"[4, 41, 137]",0.56,MLR,0.51,0.29,0.16,0.05
"[25, 68, 118, 321, 329]",0.78,MLR,0.42,-0.06,0.04,-0.35
"[100, 118, 153, 160, 218, 220, 340]",0.73,MLR,0.57,0.07,-0.06,-0.35
"[38, 153, 218, 363]",0.58,MLR,0.52,0.14,0.46,0.16
"[18, 228, 311, 373]",0.53,MLR,0.66,0.43,-0.07,-0.7
"[92, 102, 108, 176, 238, 291, 390]",0.54,MLR,0.65,0.12,0.77,0.22
