Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[21, 32, 108, 119, 124, 132, 133, 146, 149, 289]",0.52,MLR,0.79,0.41,0.02,-0.98
"[22, 102, 301]",0.39,MLR,0.65,0.49,0.49,0.45
"[57, 177, 198, 250, 277, 280]",0.77,MLR,0.56,-0.26,0.66,-0.52
"[29, 82, 294, 301]",0.62,MLR,0.59,0.38,-0.37,0.33
"[49, 66, 233, 379]",0.81,MLR,0.39,-0.02,-0.23,-0.71
"[15, 24, 57, 381]",0.72,MLR,0.22,-0.12,0.56,0.6
"[166, 228, 280, 325]",1.35,MLR,0.28,-0.78,-0.78,-0.88
"[95, 188, 223, 251, 296, 317, 337]",0.48,MLR,0.71,0.32,0.5,0.31
"[151, 289, 327, 345]",0.61,MLR,0.51,0.23,0.08,-0.18
"[106, 126, 139, 171, 223, 232, 234, 243, 291, 313, 374, 388]",1.47,MLR,0.77,-0.62,-1.89,-9.22
