Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[13, 20, 24, 102, 142, 154, 192, 292, 315]",1.02,MLR,0.83,0.26,-2.07,-3.89
"[91, 129, 160, 250, 289]",1.45,MLR,0.42,-0.95,-0.82,-3.07
"[129, 143, 279, 304, 327]",0.57,MLR,0.6,0.34,-0.03,0.33
"[12, 56, 142, 181, 388]",1.05,MLR,0.62,0.36,-2.52,-3.54
"[89, 136, 149, 235]",0.56,MLR,0.46,0.12,0.69,0.71
"[27, 38, 97, 207, 242, 286, 365]",1.1,MLR,0.4,-0.43,-0.51,-8.13
"[83, 127, 132, 240, 247, 254]",1.08,MLR,0.13,-0.44,-0.36,0.07
"[133, 192, 245, 314]",2.49,MLR,0.37,0.02,-8.9,-21.06
"[147, 182, 183, 213, 215, 216, 253, 342]",0.57,MLR,0.67,0.2,0.39,0.07
"[1, 7, 43, 70, 191, 218, 316, 350, 360]",1.01,MLR,0.78,0.39,-2.41,-4.28
