Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[37, 71, 126, 155, 386]",0.95,MLR,0.61,0.12,-1.32,-0.76
"[86, 119, 152, 275, 276]",1.82,MLR,0.24,-1.62,-0.76,-0.64
"[20, 129, 259, 271, 346, 391]",0.65,MLR,0.56,0.13,0.16,0.5
"[16, 35, 77, 87, 140, 170, 283, 308, 314, 388]",2.61,MLR,0.66,-0.67,-7.55,-21.46
"[24, 113, 174, 272, 274, 293]",0.69,MLR,0.58,0.07,0.16,-0.18
"[52, 77, 102, 237, 394]",0.69,MLR,0.5,0.04,0.19,-39187.33
"[17, 69, 124, 171, 186, 188, 205, 302]",2.26,MLR,0.73,-0.02,-7.59,-10.05
"[28, 123, 198, 211, 303, 305, 320]",1.78,MLR,0.38,-0.27,-4.45,-7.83
"[75, 207, 320, 372, 383]",1.42,MLR,0.29,-0.6,-1.68,-2.19
"[87, 122, 214, 277, 351]",0.76,MLR,0.42,-0.14,0.38,-0.06
