Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[28, 36, 48, 64, 86, 166, 173, 265, 340, 346, 360]",3.46,MLR,0.2,-0.48,-12.42,-16.92
"[62, 137, 195, 198]",0.69,MLR,0.29,-0.08,0.55,0.23
"[18, 86, 227, 310, 316]",0.7,MLR,0.63,0.42,-0.92,-1.84
"[0, 74, 140, 182, 186, 187, 256, 299, 344]",0.8,MLR,0.8,0.14,-0.61,-9.47
"[54, 93, 113, 231, 252, 272]",1.31,MLR,0.49,0.08,-3.06,-1.44
"[77, 150, 218]",0.57,MLR,0.47,0.24,0.28,0.33
"[20, 138, 245, 339]",0.71,MLR,0.33,0.02,0.21,-0.88
"[119, 137, 164, 171, 221, 234, 370]",1.29,MLR,0.61,-0.08,-2.51,-1.23
"[18, 31, 35, 42, 56, 75, 77, 97, 150, 191, 335]",1.06,MLR,0.9,0.5,-2.95,-4.52
"[164, 242, 317, 324, 358, 364, 380]",0.66,MLR,0.62,-0.03,0.57,-1.44
