Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[19, 44, 183, 236]",0.93,MLR,-0.12,-0.54,0.66,0.66
"[52, 117, 144, 193, 194, 285, 295]",0.66,MLR,0.67,0.33,-0.44,-0.09
"[15, 49, 68, 75, 137, 168, 259, 279]",0.93,MLR,0.54,-0.05,-0.76,-1.71
"[39, 69, 96, 180, 232, 348]",0.7,MLR,0.54,0.18,-0.23,-0.74
"[18, 233, 234, 348]",0.65,MLR,0.53,0.29,-0.29,0.63
"[76, 256, 289]",0.67,MLR,0.45,0.12,0.13,-0.49
"[128, 223, 293, 334, 367]",0.91,MLR,0.55,0.16,-1.25,-1.17
"[71, 265, 279, 362, 373]",0.87,MLR,0.59,0.28,-1.38,-1.65
"[105, 116, 166, 203, 294]",0.75,MLR,0.58,0.32,-0.87,-0.38
"[214, 268, 315, 395]",0.67,MLR,0.38,-0.12,0.8,-107471.98
