Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[46, 210, 231, 240, 360]",0.7,MLR,0.36,-0.03,0.39,0.23
"[14, 27, 55, 150, 160, 213, 263, 338, 372]",2.29,MLR,0.72,-0.24,-7.14,-14.91
"[11, 70, 106, 165, 248]",0.77,MLR,0.28,-0.23,0.62,-0.2
"[19, 72, 101, 151, 230, 305, 368, 387]",0.9,MLR,0.26,-0.4,0.42,0.79
"[12, 113, 233, 290, 317, 373]",1.12,MLR,0.25,-0.38,-0.79,-1.2
"[80, 267, 358, 380]",2.1,MLR,0.36,-2.17,-0.63,-1.06
"[27, 29, 58, 69, 131, 134, 263, 301]",0.56,MLR,0.62,0.22,0.41,0.24
"[37, 65, 208, 311]",0.9,MLR,0.25,-0.26,0.02,-0.53
"[17, 43, 59, 157, 209]",0.62,MLR,0.57,0.08,0.46,0.41
"[119, 121, 320]",0.51,MLR,0.55,0.35,0.28,0.4
