Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[106, 112, 122]",0.8,MLR,0.11,-0.24,0.48,0.34
"[45, 103, 170, 207, 262, 297, 313, 336, 390]",2.91,MLR,0.43,-3.08,-2.17,-14.72
"[22, 42, 53, 173, 197, 198, 272, 348, 374]",1.09,MLR,-0.01,-0.57,-0.07,0.29
"[16, 23, 25, 69, 174, 225, 321, 326, 358, 388]",0.57,MLR,0.76,0.1,0.68,0.25
"[36, 53, 67, 196, 283]",0.79,MLR,0.65,0.32,-1.08,-0.7
"[51, 68, 76, 85, 86, 144, 148, 273, 293, 301, 356]",8.57,MLR,0.63,-14.0,0.18,0.08
"[28, 166, 208, 243, 296, 303, 360, 376, 392]",1.43,MLR,0.63,-0.84,-1.0,-985.08
"[84, 204, 216, 378]",2.48,MLR,0.43,-2.57,-1.44,-0.95
"[58, 69, 90, 155, 170, 191, 206]",3.79,MLR,0.75,0.45,-16.74,-21.46
"[28, 178, 181, 189, 274, 284]",3.17,MLR,0.69,0.32,-13.2,-12.1
