Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[59, 165, 174, 302]",1.01,MLR,0.12,-0.44,-0.05,0.04
"[1, 17, 52, 116, 238, 283, 317]",1.11,MLR,0.71,-0.86,0.63,0.76
"[32, 131, 154, 168, 172, 229, 291, 326, 337]",1.46,MLR,0.52,-1.45,0.53,-0.69
"[6, 92, 154, 159, 164, 284]",0.94,MLR,0.63,-0.33,0.02,0.22
"[87, 154, 316, 386]",0.92,MLR,0.2,-0.22,-0.2,-0.01
"[41, 52, 57, 89, 93, 197, 244]",0.35,MLR,0.73,0.48,0.71,0.49
"[26, 53, 91, 115, 136, 290, 383, 385]",0.6,MLR,0.63,0.1,0.5,-0.54
"[2, 83, 126, 189, 217, 267, 345, 385, 395]",0.42,MLR,0.78,0.45,0.44,-6043.26
"[86, 110, 140, 231, 238, 268, 285, 312]",1.03,MLR,0.69,-0.31,-0.51,-0.9
"[47, 182, 190, 303, 359, 393]",0.3,MLR,0.82,0.64,0.5,-669.45
