Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[56, 59, 110, 121, 138, 186, 196, 258, 332]",2.83,MLR,0.7,-0.38,-9.53,-12.27
"[79, 173, 250, 336, 349, 387]",0.51,MLR,0.57,0.24,0.57,0.13
"[34, 61, 184, 240, 249, 311, 321, 332, 368]",1.23,MLR,0.52,-0.41,-1.26,-0.46
"[83, 314, 356, 374]",1.14,MLR,0.4,0.05,-2.11,-9.45
"[50, 67, 70, 79, 132, 191, 192, 193, 295]",2.44,MLR,0.76,-0.11,-8.27,-13.44
"[118, 121, 133, 143, 178, 291, 309, 367, 382]",2.14,MLR,0.81,0.27,-7.83,-13.69
"[88, 142, 143, 194, 284, 309, 322, 360]",0.65,MLR,0.73,0.3,-0.3,0.13
"[138, 230, 260, 267, 282, 294]",0.65,MLR,0.67,0.39,-0.57,-1.63
"[4, 33, 263, 292, 301, 341, 364, 366]",0.64,MLR,0.6,0.19,0.07,-0.34
"[60, 88, 111, 246, 286, 305]",0.53,MLR,0.66,0.32,0.24,-0.59
"[24, 80, 148, 388]",1.39,MLR,0.26,-1.08,-0.12,0.28
"[22, 94, 141, 197, 253]",0.62,MLR,0.46,0.14,0.3,0.28
"[83, 144, 162, 321, 324]",0.48,MLR,0.63,0.34,0.42,0.24
"[123, 174, 189, 224, 280, 283]",0.89,MLR,0.41,-0.04,-0.59,-0.33
"[73, 104, 244, 281, 346]",2.85,MLR,0.07,-3.68,-0.18,-3.16
"[34, 175, 182, 275]",0.84,MLR,0.44,0.18,-0.96,-0.91
"[51, 101, 179, 210, 219, 245, 302, 334, 343]",1.99,MLR,0.32,-0.39,-5.16,-6.94
"[29, 31, 82, 176, 222, 380]",0.61,MLR,0.6,0.22,0.13,0.4
"[102, 171, 199, 269]",0.74,MLR,0.47,0.23,-0.57,-1.13
"[159, 211, 304, 368, 391]",0.68,MLR,0.6,0.27,-0.37,-0.44
"[62, 70, 74, 161, 194, 208, 213, 254, 269, 319, 384]",1.26,MLR,0.72,-0.01,-2.54,-5.95
"[123, 172, 270, 353, 389]",1.8,MLR,0.39,-1.65,-0.61,0.1
"[38, 219, 276, 384]",0.49,MLR,0.51,0.22,0.72,-0.04
"[5, 17, 23, 200, 246, 327, 346]",0.27,MLR,0.81,0.57,0.84,0.5
"[42, 284, 326, 341, 361]",0.67,MLR,0.42,0.08,0.23,0.38
"[219, 231, 268, 348]",0.84,MLR,0.36,0.06,-0.61,-0.74
"[32, 212, 256, 262, 361, 395]",1.58,MLR,0.43,-1.5,0.1,-185313.36
"[6, 39, 91, 93, 179, 236, 270, 368]",0.65,MLR,0.63,0.08,0.3,-0.41
"[109, 111, 120, 125, 193, 198, 321, 369, 385]",2.4,MLR,0.69,-0.03,-8.29,-5.74
"[99, 157, 205, 344]",0.86,MLR,0.2,-0.41,0.65,0.32
"[110, 115, 122, 238, 255, 290, 316]",0.9,MLR,0.51,-0.47,0.6,-0.14
"[128, 142, 154, 245]",0.99,MLR,0.19,-0.37,-0.12,-0.04
"[37, 87, 113, 218, 257, 296, 305, 356, 367]",0.74,MLR,0.75,-0.11,0.37,0.31
"[29, 91, 186, 236, 239, 256, 301, 344, 363]",0.98,MLR,0.69,0.23,-1.83,-1.96
"[105, 185, 298]",1.13,MLR,0.31,0.1,-2.17,-1.09
"[36, 55, 150, 351]",0.57,MLR,0.48,0.16,0.51,0.28
"[51, 122, 235, 301, 316, 319]",0.89,MLR,0.53,0.02,-0.77,-0.32
"[34, 49, 105, 173, 386]",0.59,MLR,0.56,0.19,0.31,0.46
"[21, 102, 182, 200, 308, 364]",0.85,MLR,0.31,-0.37,0.59,0.14
"[53, 60, 209, 308, 390, 393]",0.91,MLR,0.42,-0.24,-0.08,-1212.05
"[14, 41, 48, 89, 90, 107, 141, 151, 152, 158, 177, 184, 234, 250, 253, 286, 304]",4.0,MLR,0.91,-2.52,-9.33,-20.52
"[235, 272, 300]",0.81,MLR,0.28,-0.24,0.41,-0.46
"[57, 377, 385]",0.95,MLR,0.12,-0.27,-0.22,0.18
"[38, 73, 161, 223, 284, 290, 334]",0.89,MLR,0.73,0.42,-1.9,-4.28
"[69, 132, 167, 255, 258, 263, 290, 304]",0.85,MLR,0.6,0.18,-0.98,0.01
"[61, 106, 127, 199, 249, 286, 299, 315, 342]",1.0,MLR,0.74,0.34,-2.22,-7.03
"[24, 107, 158, 192, 241, 285, 290, 343, 377]",2.85,MLR,0.67,0.12,-11.05,-16.58
"[47, 56, 263, 264, 345, 387]",0.97,MLR,0.61,-0.2,-0.53,-0.84
"[4, 137, 321]",0.72,MLR,0.23,-0.1,0.44,0.21
"[19, 63, 68, 82, 165, 187, 312]",0.42,MLR,0.64,0.43,0.48,0.61
