Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[58, 78, 119, 221, 232, 284, 353]",1.94,MLR,0.62,-2.08,-0.12,0.36
"[4, 60, 175, 183, 249, 297, 360]",1.15,MLR,0.44,-0.16,-1.56,-1.37
"[66, 70, 103, 120, 137, 252, 344]",0.59,MLR,0.66,0.2,0.27,-1.16
"[259, 288, 296, 306, 310, 318, 394]",0.65,MLR,0.55,0.04,0.45,-13409.34
"[12, 99, 211, 223, 309]",0.61,MLR,0.49,0.11,0.43,-0.41
"[3, 18, 40, 105, 145, 175, 214, 313]",0.73,MLR,0.65,0.43,-1.11,-3.43
"[65, 68, 92, 234, 307]",1.51,MLR,0.55,0.22,-4.49,-10.55
"[29, 102, 145, 149, 181, 270, 290, 325, 340, 383]",0.55,MLR,0.77,0.43,-0.17,-0.26
"[5, 77, 87, 100, 112, 123, 169, 222, 249]",1.51,MLR,0.57,-0.49,-2.45,-2.92
"[97, 250, 277, 371]",1.83,MLR,0.24,-2.01,0.28,0.29
