Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[12, 50, 60, 80, 107, 143, 182, 235, 355]",0.7,MLR,0.64,0.02,0.21,0.5
"[15, 22, 30, 61, 76, 119, 147]",0.97,MLR,0.29,-0.24,-0.41,-1.82
"[131, 158, 166]",1.7,MLR,0.18,-1.73,0.13,0.17
"[24, 27, 69, 96, 100, 260, 265, 266, 357]",1.69,MLR,0.74,-0.11,-4.42,-3.34
"[23, 26, 163, 299, 303, 348]",0.59,MLR,0.35,0.06,0.69,-0.81
"[63, 71, 137, 145, 194, 223, 289]",0.74,MLR,0.44,-0.07,0.32,-0.48
"[79, 80, 326]",1.21,MLR,0.14,-0.69,-0.35,-0.15
"[99, 100, 265, 329, 366, 370, 378]",0.58,MLR,0.62,0.2,0.33,-0.25
"[25, 74, 118, 259, 271, 322]",0.96,MLR,0.39,-0.21,-0.43,0.07
"[12, 81, 86, 89, 155, 284, 306]",1.04,MLR,0.53,-0.2,-0.87,-0.06
