Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[89, 92, 213]",0.81,MLR,0.09,-0.24,0.41,0.38
"[1, 112, 115, 231, 289, 385]",1.54,MLR,0.55,-0.64,-2.18,-0.78
"[84, 155, 207, 309, 329, 383]",8.49,MLR,0.36,-13.65,-0.43,0.42
"[3, 49, 96, 113, 185, 197, 276, 278, 302, 368]",0.92,MLR,0.61,-0.33,0.14,-0.47
"[31, 36, 113, 129, 233, 241, 303, 310, 327, 364]",1.7,MLR,0.7,0.01,-4.84,-4.29
"[0, 18, 68, 92, 153, 175, 271, 291, 372]",1.27,MLR,-0.19,-0.89,-0.06,0.42
"[16, 52, 114, 169, 193]",0.58,MLR,0.51,0.04,0.79,0.44
"[23, 45, 86, 97, 136, 260, 266, 377]",1.7,MLR,0.3,-1.95,0.73,0.63
"[64, 67, 171, 181, 213, 307, 324]",1.62,MLR,0.3,-0.52,-2.91,-6.48
"[25, 40, 59, 88, 162, 209]",0.93,MLR,0.26,-0.43,0.36,0.24
