Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[35, 97, 170, 176, 295, 320, 394]",0.91,MLR,0.32,-0.42,0.44,-101319.01
"[66, 117, 119, 125, 137, 151, 192]",0.71,MLR,0.68,0.24,-0.44,-0.3
"[112, 231, 267, 314, 327, 393]",2.9,MLR,0.65,0.29,-11.76,-861.21
"[93, 235, 316]",0.74,MLR,0.43,0.16,-0.37,-0.47
"[68, 75, 191, 228, 231, 275, 282, 348]",2.22,MLR,0.71,0.19,-8.01,-15.79
"[98, 182, 246, 273, 322, 352]",0.39,MLR,0.72,0.37,0.79,0.41
"[2, 171, 304, 339, 346, 393]",0.77,MLR,0.67,0.33,-0.99,-617.37
"[69, 78, 82, 306, 322, 349]",2.43,MLR,0.3,-2.96,-0.05,0.49
"[17, 30, 171, 206, 276, 310, 335, 375, 386]",1.16,MLR,0.45,-0.42,-0.85,-1.44
"[1, 71, 104, 118, 125, 141, 145, 251, 380]",0.88,MLR,0.64,0.1,-0.95,-1.82
