Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[24L, 25L, 68L, 132L, 150L]",0.78,DE,0.29,-0.15,0.33,0.08
"[66L, 71L, 154L, 304L, 306L]",1.12,DE,0.56,0.1,-2.12,-2.62
"[0L, 10L, 26L, 213L, 366L]",1.35,DE,0.05,-0.34,-2.04,-4.59
"[84L, 89L, 126L, 138L, 164L, 279L]",2.02,DE,0.61,-1.84,-1.17,-1.36
"[34L, 134L, 210L, 268L, 319L]",0.82,DE,0.38,-0.04,-0.19,0.14
"[5L, 144L, 184L, 290L]",0.85,DE,0.59,0.37,-1.54,-1.84
"[131L, 289L, 334L, 359L]",0.78,DE,0.42,0.11,-0.44,-0.85
"[6L, 298L, 372L, 384L]",0.88,DE,0.41,-0.0,-0.64,0.02
"[33L, 49L, 113L, 352L, 357L]",0.85,DE,0.29,-0.24,0.2,0.44
"[57L, 83L, 158L, 195L, 205L, 208L, 246L]",0.49,DE,0.73,0.33,0.41,-0.17
"[1L, 27L, 202L, 225L, 246L, 253L]",0.67,DE,0.5,0.06,0.28,0.16
"[41L, 43L, 45L, 49L, 91L, 225L, 231L, 250L]",1.18,DE,0.72,0.12,-2.52,-4.81
"[8L, 25L, 37L, 166L, 206L, 271L]",0.57,DE,0.59,0.26,0.22,0.19
"[23L, 230L, 276L]",0.65,DE,0.34,0.03,0.49,0.41
"[113L, 142L, 151L, 161L, 331L, 359L]",0.93,DE,0.21,-0.39,0.25,-0.04
"[83L, 175L, 190L, 191L, 276L, 340L, 363L]",1.24,DE,0.55,0.07,-2.67,-7.35
"[57L, 94L, 252L, 257L]",1.01,DE,0.3,-0.23,-0.64,-1.84
"[5L, 50L, 165L, 191L, 254L, 336L]",2.17,DE,0.55,0.13,-7.62,-13.14
"[240L, 264L, 289L, 348L, 358L]",0.95,DE,0.49,-0.24,-0.32,-0.71
"[23L, 28L, 140L, 230L, 258L, 373L]",0.76,DE,0.4,-0.27,0.77,0.62
"[31L, 88L, 159L, 300L, 380L]",0.78,DE,0.4,0.02,-0.2,-3.13
"[24L, 43L, 257L, 338L]",0.71,DE,0.55,0.23,-0.43,-0.63
"[22L, 53L, 114L, 188L, 212L, 217L, 239L, 321L, 333L]",0.95,DE,-0.06,-0.49,0.41,0.02
"[32L, 42L, 138L, 153L, 190L, 204L, 309L, 363L, 365L]",0.5,DE,0.77,0.35,0.32,0.18
"[37L, 139L, 188L, 195L, 251L, 285L, 330L, 356L]",1.87,DE,0.68,0.11,-5.99,-5.97
"[47L, 50L, 69L, 221L, 337L, 369L, 382L]",0.77,DE,0.65,0.18,-0.58,-0.41
"[129L, 141L, 146L, 248L, 287L, 295L, 346L]",0.66,DE,0.57,0.18,-0.01,0.19
"[17L, 88L, 140L, 240L, 281L, 367L]",0.8,DE,0.46,-0.12,0.1,0.19
"[27L, 43L, 221L, 222L, 274L, 328L, 379L]",0.73,DE,0.57,-0.07,0.34,0.29
"[44L, 56L, 65L, 95L, 234L, 316L, 352L, 380L]",0.63,DE,0.55,0.06,0.48,0.3
"[66L, 78L, 93L, 187L, 203L, 235L, 242L, 285L]",3.58,DE,0.74,-4.61,-1.23,-5.42
"[102L, 222L, 346L]",0.57,DE,0.37,0.1,0.67,0.21
"[19L, 79L, 126L, 145L, 157L, 160L, 200L, 227L, 288L, 294L]",0.91,DE,0.38,-0.48,0.61,-0.0
"[4L, 55L, 70L, 110L, 118L, 128L, 148L, 156L, 229L, 249L, 304L, 370L]",1.58,DE,0.88,0.34,-5.2,-6.6
"[64L, 167L, 296L]",0.64,DE,0.54,0.34,-0.35,-0.29
"[21L, 74L, 77L, 89L, 243L, 252L, 331L]",1.1,DE,0.35,-0.64,0.08,-0.31
"[88L, 114L, 194L, 205L, 224L, 235L, 263L]",1.02,DE,0.56,0.06,-1.5,-1.69
"[106L, 119L, 131L, 214L, 252L, 355L, 372L, 384L]",0.87,DE,0.67,0.03,-0.65,-0.43
"[28L, 76L, 93L, 124L, 145L, 285L]",0.98,DE,0.52,0.02,-1.18,-1.31
"[34L, 51L, 260L, 369L]",0.76,DE,0.39,-0.14,0.37,0.51
"[129L, 132L, 197L, 199L, 325L]",0.48,DE,0.55,0.2,0.82,-0.62
"[76L, 210L, 238L, 273L, 382L]",0.56,DE,0.57,0.25,0.27,0.26
"[8L, 64L, 103L, 197L]",0.65,DE,0.5,0.14,0.17,0.35
"[2L, 27L, 80L, 199L, 296L, 312L, 342L, 366L]",0.53,DE,0.76,0.28,0.36,0.29
"[9L, 24L, 241L, 332L]",0.62,DE,0.44,0.22,0.08,-0.98
"[17L, 78L, 124L, 242L, 286L, 301L]",0.99,DE,0.62,0.41,-2.38,-0.68
"[97L, 115L, 137L, 151L, 162L, 187L, 248L, 384L]",0.7,DE,0.65,-0.02,0.32,-0.42
"[86L, 124L, 129L, 237L, 308L]",0.57,DE,0.64,0.31,0.06,0.14
"[20L, 143L, 150L, 205L, 267L, 371L]",0.53,DE,0.68,0.36,0.11,0.41
"[27L, 103L, 199L, 217L, 263L, 271L]",0.89,DE,0.67,0.43,-1.93,-3.01
"[0L, 10L, 26L, 86L, 102L, 124L, 129L, 213L, 222L, 237L, 308L, 346L, 366L]",1.49,DE,0.64,-0.62,-1.97,-2.48
"[6L, 57L, 83L, 94L, 175L, 190L, 191L, 252L, 257L, 276L, 298L, 340L, 363L, 372L, 384L]",3.34,DE,0.87,-1.37,-9.27,-15.32
"[23L, 28L, 34L, 51L, 76L, 93L, 124L, 145L, 230L, 260L, 276L, 285L, 369L]",1.36,DE,0.88,0.58,-4.73,-4.85
"[1L, 8L, 9L, 24L, 27L, 64L, 103L, 197L, 202L, 225L, 241L, 246L, 253L, 332L]",1.59,DE,0.85,-0.26,-3.54,-6.97
"[1L, 27L, 34L, 51L, 64L, 167L, 202L, 225L, 246L, 253L, 260L, 296L, 369L]",1.19,DE,0.8,-0.11,-1.88,-4.16
"[4L, 22L, 53L, 55L, 70L, 84L, 89L, 110L, 114L, 118L, 126L, 128L, 138L, 148L, 156L, 164L, 188L, 212L, 217L, 229L, 239L, 249L, 279L, 304L, 321L, 333L, 370L]",0.48,DE,0.99,0.85,-1.03,-3.24
"[1L, 23L, 27L, 131L, 202L, 225L, 230L, 246L, 253L, 276L, 289L, 334L, 359L]",0.96,DE,0.63,-0.12,-0.69,-1.54
"[28L, 76L, 93L, 102L, 124L, 129L, 141L, 145L, 146L, 222L, 248L, 285L, 287L, 295L, 346L]",0.81,DE,0.91,-0.1,0.02,-1.47
"[21L, 66L, 71L, 74L, 77L, 89L, 113L, 142L, 151L, 154L, 161L, 243L, 252L, 304L, 306L, 331L, 359L]",1.7,DE,0.95,0.4,-5.97,-9.97
"[23L, 64L, 86L, 124L, 129L, 167L, 230L, 237L, 276L, 296L, 308L]",0.56,DE,0.69,0.06,0.82,0.39
"[2L, 27L, 34L, 80L, 129L, 132L, 134L, 197L, 199L, 210L, 268L, 296L, 312L, 319L, 325L, 342L, 366L]",1.06,DE,0.98,0.28,-2.36,-1.38
"[23L, 47L, 50L, 69L, 221L, 230L, 240L, 264L, 276L, 289L, 337L, 348L, 358L, 369L, 382L]",0.77,DE,0.86,0.32,-1.0,-1.33
"[23L, 64L, 131L, 167L, 230L, 276L, 289L, 296L, 334L, 359L]",0.88,DE,0.62,-0.22,-0.02,0.27
"[2L, 27L, 34L, 80L, 129L, 132L, 134L, 197L, 210L, 268L, 296L, 312L, 319L, 325L, 342L, 366L]",0.94,DE,0.98,0.27,-1.7,-1.0
"[6L, 57L, 94L, 113L, 142L, 151L, 161L, 252L, 257L, 298L, 331L, 359L, 372L, 384L]",0.59,DE,0.91,0.46,-0.48,-7.82
"[4L, 17L, 23L, 28L, 55L, 70L, 78L, 110L, 118L, 124L, 128L, 140L, 148L, 156L, 229L, 230L, 242L, 249L, 258L, 286L, 301L, 304L, 370L, 373L]",0.5,DE,0.94,0.63,-0.51,-0.08
"[4L, 5L, 50L, 55L, 70L, 84L, 89L, 110L, 118L, 126L, 128L, 138L, 148L, 156L, 164L, 165L, 191L, 229L, 249L, 254L, 279L, 304L, 336L, 370L]",1.1,DE,1.0,0.13,-2.16,-2.06
"[24L, 43L, 106L, 119L, 129L, 131L, 132L, 197L, 199L, 214L, 252L, 257L, 325L, 338L, 355L, 372L, 384L]",0.82,DE,0.97,0.56,-1.89,0.02
"[23L, 28L, 57L, 83L, 94L, 140L, 158L, 195L, 205L, 208L, 230L, 246L, 252L, 257L, 258L, 373L]",1.17,DE,0.77,-0.47,-0.75,-2.04
"[4L, 44L, 47L, 50L, 55L, 56L, 65L, 69L, 70L, 95L, 110L, 118L, 128L, 148L, 156L, 221L, 229L, 234L, 249L, 304L, 316L, 337L, 352L, 369L, 370L, 380L, 382L]",0.17,DE,0.99,0.92,0.38,0.31
"[5L, 37L, 50L, 139L, 144L, 165L, 184L, 188L, 191L, 195L, 251L, 254L, 285L, 290L, 330L, 336L, 356L]",0.89,DE,0.84,-0.25,0.04,-11.21
"[57L, 83L, 94L, 106L, 119L, 131L, 158L, 195L, 205L, 208L, 214L, 246L, 257L, 355L, 372L, 384L]",0.92,DE,0.88,0.29,-1.66,-1.31
"[23L, 64L, 76L, 167L, 210L, 230L, 238L, 273L, 276L, 296L, 382L]",0.62,DE,0.64,-0.01,0.72,0.33
"[2L, 27L, 34L, 51L, 64L, 80L, 167L, 199L, 260L, 312L, 342L, 366L, 369L]",0.74,DE,0.81,0.13,-0.32,0.05
"[8L, 21L, 25L, 37L, 64L, 74L, 77L, 89L, 166L, 167L, 206L, 243L, 252L, 271L, 296L, 331L]",0.99,DE,0.8,-0.48,0.22,-1.2
"[4L, 44L, 55L, 56L, 65L, 70L, 95L, 97L, 110L, 115L, 118L, 128L, 137L, 148L, 151L, 156L, 162L, 187L, 229L, 234L, 248L, 249L, 304L, 316L, 352L, 370L, 380L, 384L]",0.64,DE,0.79,0.29,-0.26,-1.63
"[23L, 64L, 76L, 167L, 210L, 230L, 238L, 273L, 276L, 296L, 382L]",0.62,DE,0.64,-0.01,0.72,0.33
"[5L, 47L, 50L, 69L, 97L, 115L, 137L, 144L, 151L, 162L, 184L, 187L, 221L, 248L, 290L, 337L, 369L, 382L, 384L]",0.67,DE,0.99,0.55,-1.12,-2.17
"[31L, 57L, 86L, 88L, 94L, 124L, 129L, 159L, 237L, 252L, 257L, 300L, 308L, 380L]",1.25,DE,0.79,-0.95,0.19,-0.82
"[34L, 57L, 64L, 94L, 134L, 167L, 210L, 252L, 257L, 268L, 296L, 319L]",1.27,DE,0.69,-0.96,0.09,-0.8
"[6L, 23L, 129L, 132L, 197L, 199L, 230L, 276L, 298L, 325L, 372L, 384L]",0.59,DE,0.67,0.22,0.2,-0.01
"[1L, 4L, 17L, 27L, 55L, 70L, 88L, 110L, 118L, 128L, 140L, 148L, 156L, 202L, 225L, 229L, 240L, 246L, 249L, 253L, 281L, 304L, 367L, 370L]",0.67,DE,0.86,0.54,-1.09,-2.26
"[17L, 88L, 102L, 131L, 140L, 222L, 240L, 281L, 289L, 334L, 346L, 359L, 367L]",0.34,DE,0.89,0.59,0.42,-0.35
"[8L, 23L, 28L, 103L, 140L, 167L, 197L, 230L, 258L, 296L, 373L]",0.52,DE,0.82,0.3,0.34,0.44
"[17L, 23L, 31L, 140L, 159L, 230L, 240L, 276L, 281L, 300L, 367L, 380L]",0.44,DE,0.87,0.39,0.51,-0.56
"[9L, 23L, 24L, 102L, 222L, 230L, 241L, 276L, 332L, 346L]",0.42,DE,0.76,0.34,0.78,0.7
"[4L, 47L, 50L, 55L, 57L, 69L, 70L, 83L, 110L, 118L, 128L, 148L, 156L, 158L, 195L, 205L, 208L, 221L, 229L, 246L, 249L, 304L, 337L, 369L, 370L, 382L]",0.33,DE,0.92,0.63,0.38,0.22
"[17L, 57L, 88L, 94L, 102L, 140L, 222L, 240L, 252L, 257L, 281L, 346L, 367L]",0.84,DE,0.86,-0.45,0.89,0.34
"[5L, 23L, 97L, 115L, 137L, 144L, 151L, 162L, 184L, 187L, 230L, 248L, 276L, 290L, 384L]",1.27,DE,0.3,-0.84,-0.23,-5.93
"[24L, 25L, 34L, 51L, 68L, 129L, 132L, 150L, 197L, 199L, 260L, 325L, 369L]",1.19,DE,0.32,-0.38,-1.12,-1.26
"[1L, 23L, 27L, 28L, 129L, 132L, 140L, 197L, 199L, 202L, 225L, 230L, 246L, 253L, 258L, 325L, 373L]",0.68,DE,0.98,0.56,-1.18,-2.5
"[17L, 23L, 31L, 140L, 159L, 230L, 240L, 276L, 281L, 300L, 367L, 380L]",0.44,DE,0.87,0.39,0.51,-0.56
"[1L, 27L, 34L, 51L, 57L, 94L, 202L, 225L, 246L, 252L, 253L, 257L, 260L, 369L]",0.66,DE,0.75,0.48,-0.87,-0.31
"[8L, 23L, 103L, 167L, 197L, 230L, 276L, 296L]",0.58,DE,0.57,0.1,0.6,-0.14
"[31L, 57L, 64L, 83L, 88L, 158L, 159L, 167L, 195L, 205L, 208L, 246L, 296L, 300L, 380L]",1.01,DE,0.85,-0.16,-0.84,-6.02
"[17L, 23L, 28L, 31L, 140L, 159L, 230L, 240L, 258L, 281L, 300L, 367L, 373L, 380L]",0.7,DE,0.89,-0.08,0.51,-0.43
"[2L, 4L, 17L, 27L, 55L, 70L, 80L, 88L, 110L, 118L, 128L, 140L, 148L, 156L, 199L, 229L, 240L, 249L, 281L, 296L, 304L, 312L, 342L, 366L, 367L, 370L]",0.51,DE,0.97,0.62,-0.53,-3.94
"[6L, 24L, 25L, 68L, 129L, 132L, 150L, 197L, 199L, 298L, 325L, 372L, 384L]",0.86,DE,0.73,-0.24,0.18,-2.95
"[33L, 49L, 57L, 66L, 71L, 94L, 113L, 154L, 252L, 257L, 304L, 306L, 352L, 357L]",0.79,DE,0.97,0.43,-1.38,0.07
"[4L, 8L, 25L, 37L, 44L, 55L, 56L, 65L, 70L, 95L, 110L, 118L, 128L, 148L, 156L, 166L, 206L, 229L, 234L, 249L, 271L, 304L, 316L, 352L, 370L, 380L]",0.61,DE,1.0,0.6,-0.98,-2.1
"[23L, 31L, 86L, 88L, 124L, 129L, 159L, 230L, 237L, 276L, 300L, 308L, 380L]",0.95,DE,0.56,-0.41,0.19,-0.23
"[4L, 23L, 55L, 70L, 110L, 118L, 128L, 129L, 132L, 148L, 156L, 197L, 199L, 229L, 230L, 249L, 276L, 304L, 325L, 370L]",0.44,DE,0.72,0.39,0.51,0.25
"[4L, 19L, 34L, 55L, 70L, 79L, 110L, 118L, 126L, 128L, 134L, 145L, 148L, 156L, 157L, 160L, 200L, 210L, 227L, 229L, 249L, 268L, 288L, 294L, 304L, 319L, 370L]",0.59,DE,0.86,0.49,-0.57,-0.91
"[5L, 8L, 23L, 28L, 64L, 103L, 140L, 144L, 184L, 197L, 230L, 258L, 290L, 373L]",0.91,DE,0.84,-0.31,0.08,-4.22
"[0L, 5L, 10L, 26L, 50L, 57L, 94L, 165L, 191L, 213L, 252L, 254L, 257L, 336L, 366L]",0.71,DE,0.93,0.45,-1.04,-1.62
"[4L, 23L, 47L, 50L, 55L, 69L, 70L, 110L, 118L, 128L, 148L, 156L, 221L, 229L, 230L, 249L, 276L, 304L, 337L, 369L, 370L, 382L]",0.72,DE,0.95,0.09,-0.06,-0.77
"[4L, 19L, 37L, 55L, 70L, 79L, 110L, 118L, 126L, 128L, 139L, 145L, 148L, 156L, 157L, 160L, 188L, 195L, 200L, 227L, 229L, 249L, 251L, 285L, 288L, 294L, 304L, 330L, 356L, 370L]",0.7,DE,0.73,-0.06,0.44,0.1
"[4L, 19L, 24L, 43L, 55L, 70L, 79L, 110L, 118L, 126L, 128L, 145L, 148L, 156L, 157L, 160L, 200L, 227L, 229L, 249L, 257L, 288L, 294L, 304L, 338L, 370L]",0.92,DE,0.61,-0.27,-0.08,-0.89
"[17L, 23L, 88L, 129L, 132L, 140L, 197L, 199L, 230L, 240L, 276L, 281L, 325L, 367L]",0.51,DE,0.93,0.32,0.34,-0.81
"[17L, 23L, 57L, 88L, 94L, 140L, 230L, 240L, 252L, 257L, 276L, 281L, 367L]",0.72,DE,0.5,0.08,-0.03,0.41
"[1L, 24L, 25L, 27L, 68L, 102L, 132L, 150L, 202L, 222L, 225L, 246L, 253L, 346L]",0.67,DE,0.88,0.02,0.37,-0.87
"[1L, 4L, 27L, 34L, 55L, 70L, 110L, 118L, 128L, 134L, 148L, 156L, 202L, 210L, 225L, 229L, 246L, 249L, 253L, 268L, 304L, 319L, 370L]",0.19,DE,0.93,0.88,0.38,-1.02
"[1L, 9L, 23L, 24L, 27L, 202L, 225L, 230L, 241L, 246L, 253L, 276L, 332L]",0.68,DE,0.82,-0.1,0.7,0.63
"[4L, 31L, 55L, 57L, 70L, 83L, 88L, 110L, 118L, 128L, 148L, 156L, 158L, 159L, 195L, 205L, 208L, 229L, 246L, 249L, 300L, 304L, 370L, 380L]",0.29,DE,0.99,0.88,-0.16,-0.28
"[4L, 23L, 27L, 28L, 43L, 55L, 70L, 110L, 118L, 128L, 140L, 148L, 156L, 221L, 222L, 229L, 230L, 249L, 258L, 274L, 304L, 328L, 370L, 373L, 379L]",0.72,DE,0.6,0.38,-0.91,-1.52
"[4L, 24L, 32L, 42L, 43L, 55L, 70L, 110L, 118L, 128L, 138L, 148L, 153L, 156L, 190L, 204L, 229L, 249L, 257L, 304L, 309L, 338L, 363L, 365L, 370L]",0.57,DE,0.97,0.59,-0.73,0.13
