Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[61, 89, 112, 131, 142, 151, 245, 254, 370]",0.78,DE,0.44,-0.21,0.48,-0.22
"[44, 76, 103, 165, 178, 261, 274, 360]",0.92,DE,0.77,0.25,-1.58,-2.47
"[97, 104, 113, 126, 255, 274, 307, 365]",3.38,DE,0.66,0.06,-13.57,-18.86
"[89, 126, 150, 154, 157, 198]",0.99,DE,0.5,-0.46,0.14,0.3
"[44, 50, 106, 112, 134, 202]",0.52,DE,0.61,0.25,0.51,0.63
"[9, 84, 180, 287, 316, 323]",3.2,DE,0.37,-4.34,-0.05,-0.75
"[148, 176, 195, 199, 207, 232]",1.25,DE,0.38,-1.1,0.63,-0.02
"[24, 73, 114, 117, 134, 139, 321, 381]",0.96,DE,0.75,0.44,-2.3,-3.12
"[45, 89, 180, 198, 290]",0.8,DE,0.42,0.07,-0.42,-0.18
"[14, 52, 97, 148, 280, 374]",0.52,DE,0.55,0.25,0.51,-0.9
"[38, 48, 252, 272, 321]",0.65,DE,0.5,0.0,0.53,0.26
"[181, 183, 202, 229, 267, 288, 305, 310]",1.49,DE,0.7,0.43,-4.99,-6.05
"[66, 170, 180, 205, 216, 334]",0.57,DE,0.72,0.24,0.25,-0.01
"[6, 136, 329]",1.15,DE,0.02,-0.66,-0.14,-0.27
"[18, 67, 139, 205, 245, 295, 345]",0.83,DE,0.63,-0.0,-0.39,-1.73
"[152, 176, 265, 270, 283, 291]",1.08,DE,0.44,-0.08,-1.4,-2.59
"[28, 94, 241, 251, 325, 328]",0.76,DE,0.39,-0.12,0.36,-0.2
"[5, 119, 128, 375]",0.57,DE,0.61,0.27,0.15,0.22
"[97, 283, 379]",0.46,DE,0.56,0.31,0.63,0.58
"[79, 92, 136, 204, 341]",0.52,DE,0.58,0.22,0.58,-0.04
"[31, 75, 268, 269, 271, 363]",0.7,DE,0.45,-0.03,0.37,-1.12
"[69, 148, 226, 231, 241, 288, 330, 338]",1.03,DE,0.57,0.04,-1.52,-4.61
"[136, 195, 253, 330]",0.75,DE,0.31,-0.16,0.49,-0.28
"[127, 144, 257, 366]",0.61,DE,0.52,0.19,0.21,-0.15
"[9, 51, 160]",0.78,DE,0.25,-0.04,-0.0,-0.32
"[6, 64, 140, 165, 192, 245, 246, 285, 339]",0.4,DE,0.76,0.39,0.71,-0.4
"[189, 190, 212, 237, 299]",0.55,DE,0.59,0.23,0.4,-22.01
"[69, 92, 108, 113, 208, 262]",1.17,DE,0.4,-0.8,0.2,-0.33
"[30, 172, 185, 263]",0.75,DE,0.61,0.22,-0.6,-0.53
"[32, 97, 224, 261]",1.23,DE,0.19,-0.28,-1.59,-1.4
"[64, 124, 157, 172, 207, 211, 238, 298]",0.92,DE,0.7,-0.05,-0.67,-0.47
"[21, 112, 125, 198, 236, 335]",0.63,DE,0.69,0.2,0.04,-0.25
"[149, 200, 234, 343, 382]",1.4,DE,0.33,-0.98,-0.45,-0.4
"[8, 144, 153, 330, 351]",0.45,DE,0.63,0.31,0.67,0.27
"[54, 110, 245, 347, 354]",0.94,DE,0.24,-0.26,-0.21,0.07
"[172, 223, 252]",1.81,DE,0.28,-1.81,-0.19,-0.48
"[41, 151, 199, 214, 298, 374]",0.5,DE,0.65,0.25,0.57,0.48
"[29, 44, 123, 264, 274, 287]",0.41,DE,0.66,0.37,0.7,0.67
"[1, 53, 103, 166, 184, 326]",2.16,DE,0.69,-0.61,-5.44,-9.62
"[9, 40, 57, 77, 163, 232, 269, 289, 342]",0.79,DE,0.64,-0.09,0.1,-1.39
"[0, 62, 138, 143, 145, 219, 257, 362, 364, 382]",0.77,DE,0.74,0.23,-0.74,-1.34
"[54, 66, 121, 170, 214, 352]",1.01,DE,0.44,-0.31,-0.39,-0.66
"[14, 22, 290, 307, 357]",4.78,DE,0.34,0.02,-20.59,-36.47
"[71, 259, 285, 314]",1.62,DE,0.65,0.43,-5.65,-15.54
"[99, 103, 113, 159, 216, 221, 325, 356, 383]",1.05,DE,0.61,-0.12,-1.17,-0.9
"[40, 79, 161]",0.94,DE,0.04,-0.3,-0.07,-0.59
"[25, 139, 154, 221, 232, 376]",0.48,DE,0.71,0.4,0.24,0.55
"[16, 41, 62, 87, 194, 227, 255, 358]",0.45,DE,0.65,0.3,0.71,0.22
"[5, 8, 67, 81, 104, 145, 149, 367]",1.77,DE,0.67,0.08,-5.38,-7.27
"[15, 49, 161, 189, 244, 252, 290, 346]",3.26,DE,-0.16,-4.22,-0.71,-14.12
