Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[11, 29, 70, 171, 212, 220, 265, 286]",1.06,DE,0.59,-0.25,-0.87,-0.79
"[1, 57, 75, 221, 251, 254, 298, 309]",0.65,DE,0.65,0.09,0.29,-2.41
"[34, 198, 204, 235]",0.99,DE,0.48,0.19,-1.71,-1.78
"[210, 260, 272, 343]",0.72,DE,0.48,0.17,-0.33,-0.69
"[147, 171, 372, 387]",0.71,DE,0.47,0.06,0.05,-0.31
"[42, 167, 242, 300, 368]",0.87,DE,0.49,0.11,-0.91,-0.44
"[77, 169, 201, 253, 330, 357]",0.87,DE,0.48,-0.2,-0.01,0.09
"[2, 27, 109, 128, 199, 205]",0.45,DE,0.75,0.54,0.01,-0.2
"[35, 160, 355, 382]",0.69,DE,0.32,0.0,0.35,-1.25
"[10, 82, 85, 136, 211, 273, 278, 358]",1.3,DE,0.44,-1.04,0.23,-0.32
"[92, 100, 111, 173, 224, 257, 299, 381]",0.68,DE,0.77,0.38,-0.68,-4.25
"[29, 44, 54, 64, 218, 266, 267, 323]",0.96,DE,0.68,0.25,-1.74,-1.64
"[4, 44, 153, 163, 241, 309, 341]",0.95,DE,0.49,-0.06,-0.79,-1.05
"[180, 185, 242, 370]",0.62,DE,0.52,0.22,0.05,-0.39
"[19, 62, 69, 104, 185, 287, 392]",1.01,DE,-0.12,-0.69,0.66,-638.72
"[28, 274, 301, 343, 348, 349]",0.69,DE,0.39,-0.05,0.48,-0.87
"[3, 72, 130, 148, 153, 170, 352, 373]",0.88,DE,0.56,-0.1,-0.37,-0.76
"[18, 35, 134, 152]",0.94,DE,-0.02,-0.46,0.37,-0.22
"[68, 149, 229, 253, 309, 345]",0.85,DE,0.56,-0.23,0.16,-0.38
"[22, 35, 48, 122, 213, 291]",0.31,DE,0.79,0.65,0.41,-0.15
"[72, 74, 110, 119, 140, 149, 179, 312, 383]",0.64,DE,0.68,0.02,0.51,0.11
"[55, 79, 280, 394]",0.52,DE,0.62,0.27,0.45,-8694.9
"[102, 267, 273, 322, 326, 354, 391]",0.62,DE,0.56,0.05,0.57,0.48
"[15, 44, 194, 207, 254]",1.12,DE,-0.22,-0.76,0.35,0.56
"[47, 179, 317]",0.48,DE,0.75,0.63,-0.42,-1.23
"[24, 58, 261, 278, 325, 373, 383]",1.08,DE,0.69,0.11,-1.98,-2.25
"[86, 110, 146, 226, 322, 339]",1.26,DE,0.34,-0.56,-0.96,-0.42
